제목,빈도_1등,빈도_2등,빈도_3등,빈도_4등,빈도_5등,빈도_6등,빈도_7등,빈도_8등,빈도_9등,빈도_10등,1990_0,1990_1,1990_2,1990_3,1990_4,1990_5,1990_6,1990_7,1990_8,1990_9,2000_0,2000_1,2000_2,2000_3,2000_4,2000_5,2000_6,2000_7,2000_8,2000_9,2010_0,2010_1,2010_2,2010_3,2010_4,2010_5,2010_6,2010_7,2010_8,2010_9,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29
입영열차안에서,4,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.6971637292053466,0.0,0.0,0.21861323319346515,0.0,0.0,0.6827671557370005,0.0,0.0,0.0,0.613469227458503,0.0,0.2053466776270873,0.0,0.7625537679068831,0.0,0.0,0.0,0.0,0.0,0.0,0.7262705954550305,0.0,0.2204128601839801,0.0,0.6511138097467392,0.0,0.0,0.0,0.008185490505189024,-0.0975695528811024,0.3564742352933653,0.23157595828149258,-0.21649100262952106,-0.018083296315644377,0.2348916914954942,0.1922774327999001,-0.30560995187980916,-0.41709525013963383,0.08560989486674468,0.25351487296403097,-0.31108226078332113,-0.17498389194889735,-0.21844846766281834,-0.2985972172470503,0.24257343142263352,-0.07345699190452534,-0.25036712563646735,0.30808000396736845,0.49267239752976644,0.051896947806560866,0.09534415704829077,-0.04051996639839584,0.43637094097912954,0.03734546166879716,0.09621608672883883,0.3411245182036392,0.3858128449208634,-0.21310699931395952
향기로운 추억 (응답하라 1988 삽입곡),4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5693856523284547,0.8051297887980822,0.1660301241114267,0.0,0.0,0.0,0.0,0.0,0.5901168147077659,0.7868224196103545,0.0,0.1807557052976962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9398977078684866,0.0,0.34145614468561736,0.0,-0.04662661375810525,-0.17373362949324977,0.3296525594408786,0.08583153122093617,-0.19171647170728576,0.0024640766260701987,0.14115492584154246,0.19033319201497806,-0.403371042664355,-0.2606220112906562,0.008163494752749564,0.1502054196058048,-0.4260003304197675,-0.06356628605770687,-0.25449700465810204,-0.15280096695226217,0.1934421058182442,-0.16685730386118863,-0.33012526395124575,0.25998524487728164,0.5249126262608028,0.009382928677258037,-0.04084760650515645,-0.0771837904513444,0.461748868227005,0.04578942526686227,0.08351403395349663,0.3934045292082287,0.5389206840227994,-0.23470626608838166
텅 빈 마음,4,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639338396281998,0.0,0.0,0.0,0.0,0.26614197868738426,0.0,0.0,0.0,0.0,0.0,0.9698087269409762,0.0,0.0,0.0,0.24386683486920263,0.0,0.0,-0.20806731289849267,-0.09746898984303698,0.3056316381553188,0.06889171772854752,-0.14609721774468198,-0.08624701324151829,0.10330436317599379,0.18219367833808064,-0.39551339247555006,-0.2062812166113872,0.12134561825951096,0.19912810676032677,-0.3540568355820142,-0.32858171639963984,-0.244523772620596,-0.28109089646022767,0.22751517640426755,-0.08318218355998397,-0.23671418894082308,0.16111470555188134,0.5142500243382528,0.009557861223584041,-0.008972589741460979,0.06459972211450804,0.5428314951714128,0.1445342652987165,0.0415544880379457,0.38610134803457186,0.48996260986314155,-0.20829685090575367
찬바람이 불면,3,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.40802722354133836,0.0,0.0,0.0,0.0,0.6871527693789173,0.0,0.6011113510690269,0.0,0.0,0.43696939122881173,0.0,0.0,0.6623105461184376,0.0,0.0,0.6086070091852531,0.0,0.0,0.0,0.0,0.44499181403417043,0.0,0.0,0.6054474322696165,0.0,0.6598603581067031,0.0,-0.03854138163349977,-0.15241626604664615,0.2510235697576186,0.14840273403529952,-0.23267291576982044,-0.06516180756479138,0.22602382861077785,0.1343053451671106,-0.36445661807410057,-0.3295365810030844,0.03782725970192653,0.23305689002864244,-0.36937717584575097,-0.20732478506681395,-0.18632818154263786,-0.239463645237975,0.25156531712358315,-0.1490389726596044,-0.3176523417507003,0.22332451247223994,0.49041218655865365,0.025628156596567572,-0.015551647483711926,-0.14588115329956408,0.45819114275821826,-0.0005175464945595438,0.08055343974109103,0.3797629464690278,0.41359165347203974,-0.21422400317586412
넋두리,4,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.6817253421510288,0.7316081997005384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.529731052222653e-06,-0.10144211693066303,0.3972092337697466,0.2096876443736908,-0.26232829251735706,-0.010631134006777935,0.18340439913428833,0.18862702481657545,-0.3474922220562106,-0.39617377394270675,0.019691463037628993,0.169819441924272,-0.2599577057440809,-0.07707991592028987,-0.24912885583449748,-0.18772788439816404,0.18867374862605166,-0.15967429917149037,-0.341008942330552,0.1643978375767436,0.4993559053846609,0.26940025302154996,0.009162064295732112,-0.041601916261574376,0.5222975553196167,0.08376436214023661,0.03673418774922317,0.3217385620853611,0.4381254385007876,-0.2982002355889461
잊지 말아요,5,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.21021986232481055,0.8450114534816685,0.45249299523221165,0.0,0.0,0.0,0.1923885189784388,0.0,0.0,0.0,0.8570742746602302,0.4538977019902813,0.0,0.0,0.0,0.2437223088754535,0.0,0.0,0.0,0.0,0.0,0.8563689913795434,0.4624308481518684,0.0,0.0,0.22976044324715097,0.0,0.014254077788075952,-0.15111952110147867,0.412525155505196,0.05796029995821538,-0.16415364289137183,-0.0766910226924009,0.24433566970353732,0.2697047672432954,-0.2659704324247346,-0.4890798534281918,-0.04865024808687387,0.22932075693836954,-0.21180435725045008,-0.22877669019899408,-0.326490293455417,-0.3320451900267546,0.4646816472293901,-0.12752665555081713,-0.5005034687699842,0.253480498724785,0.5166171963830464,0.18740018683134532,-0.18826000824891276,-0.06270034462175347,0.37095363377059093,-0.08311746391605158,0.2007187532841182,0.27219254340304705,0.39397719160455175,-0.21881691949608065
사랑할꺼야,6,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7618080432864127,0.0,0.0,0.0,0.6478028289411272,0.0,0.0,0.0,0.0,0.6814747863771937,0.0,0.0,0.0,0.7318415918299247,0.0,0.0,0.0,0.0,0.0,0.0,0.7093350931758442,0.0,0.0,0.704871424863582,0.0,-0.01443929673033826,-0.09130526968139283,0.5283267238038651,0.10535902260465825,-0.19995047088633192,-0.09995243492278647,0.2643714486125936,0.2691327602939403,-0.3858545661329272,-0.4345841236571048,-0.14536026278708844,0.26150481941852166,-0.4383275461323718,-0.17081706352690432,-0.24231797234809144,-0.3683738686302875,0.3938346838063382,-0.05459810874642844,-0.3636973966309365,0.09900862771145841,0.6539923409198193,0.1845775046088594,-0.24239271039024313,0.022633744265012284,0.35920000710385913,0.006923559022710678,0.18935610904814082,0.2850147396960157,0.3590639506248718,-0.2689107906548901
마음에 쓰는 편지,5,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.9106226274592516,0.0,0.0,0.23372392294280253,0.0,0.3407925442309969,0.0,0.0,0.0,0.0,0.9323568040449209,0.0,0.17914183123675967,0.3140366129168398,0.0,0.0,0.0,0.0,0.0,0.3523926392823919,0.0,0.8763944427593111,0.0,0.1937480767905554,0.26497903920904303,0.0,0.0,0.0,-0.08473161584100662,-0.06897444023927833,0.4521987163740346,0.12369541583508631,-0.20029183878746426,0.02020889832926755,0.20424860891782576,0.28867135082299894,-0.342642675108141,-0.3034061568860824,-0.01784178908341206,0.33911583387953603,-0.12667721409637195,-0.26007984642289644,-0.12108479506280433,-0.28273665838134593,0.33474683872240985,-0.07018760528861202,-0.4097496899338359,0.2123544452409459,0.5301040094823409,0.11636471305774827,-0.036745191229364045,0.0736679211179288,0.4076631623837683,0.08799537365288976,0.2319899821279841,0.2741921144004306,0.49514814246541416,-0.16990372305785695
눈물나는 날에는,6,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.16345114290872795,0.5703124968908009,0.0,0.0,0.3293518715971309,0.0,0.0,0.6790573109846112,0.28006408703335567,0.0,0.12944754851823037,0.6369599341068582,0.0,0.2753654815216151,0.0,0.6436229329893339,0.0,0.29571734180088916,0.0,0.0,0.0,0.2027911353119087,0.8017412752724582,0.0,0.3987994455747481,0.0,0.0,0.3962899004171981,0.0,-0.13410103616479319,-0.09649993700440973,0.38641399925109,0.07987822234861142,-0.12393663340480998,-0.13423406190304377,0.19777370544397854,0.13848536936711753,-0.33461070115117764,-0.2867201324334019,-0.1010344852329581,0.2546971925185062,-0.258536064728105,-0.18135948514100164,-0.2300649618882744,-0.33459194028455386,0.4056124071503291,-0.023745839522234746,-0.3700391876336653,0.23108649409550708,0.703700176323764,0.05244437503279187,-0.10035437942133285,-0.073250792655017,0.42082955525256693,0.14531443990108528,0.23389959934866056,0.38216049851325806,0.5175168577770819,-0.059027296090789605
시청앞 지하철 역에서,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.269300005742623,0.8670152634742029,0.2904252322135994,0.0,0.0,0.30234950686822465,0.0,0.0,0.0,0.0,0.6100055049660669,0.4979567377624237,0.0,0.6163865436786385,0.0,0.0,0.0,0.0,0.0,0.8279044987325405,0.0,0.3431640453208555,0.3161085319665645,0.0,0.3112683327860229,0.0,0.0,0.0,-0.012564397915411973,-0.12845703807397513,0.3694339659050456,0.15250596703845076,-0.1456554081505601,-0.014242611709960329,0.2246061179030221,0.20787907718477072,-0.3724531078860309,-0.28154165765590733,0.011038400891266065,0.19761407804617193,-0.2281065435236087,-0.14779407374953735,-0.23550692393473582,-0.2182028757961234,0.28816083415586036,-0.06412547221952991,-0.30472198357529123,0.213898093032185,0.5454220721439924,0.09867488537292957,0.05468163206569443,-0.006722114008880453,0.5114588045398705,0.11505189594299736,0.0720818720801617,0.3273667985663451,0.45459484279854223,-0.19061413243616698
